;A11;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;cluster
0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1
2;1;3;2;2;2;3;2;2;2;2;2;2;3;2;3;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
3;1;1;2;2;2;3;2;3;2;1;2;1;3;3;1;2;3;2;2;3;2;2;3;2;3;2;2;1;2;1;2;3;3;3;2;2;1;2;0
4;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
5;1;3;4;3;3;3;3;3;3;4;4;3;3;3;4;3;3;2;2;3;2;3;2;2;3;2;2;2;3;2;2;2;3;3;2;2;3;3;3
6;1;4;3;3;2;2;3;1;3;1;2;2;3;2;3;3;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
7;1;1;2;2;2;3;2;2;2;1;1;1;1;2;2;2;2;2;1;3;2;2;4;2;2;2;1;2;2;1;2;2;2;1;2;2;2;1;1
8;1;2;2;2;2;3;2;3;3;2;2;2;3;4;2;2;3;1;1;3;2;2;2;1;2;2;2;1;4;2;1;2;3;3;3;2;2;2;0
9;1;1;3;4;2;3;1;2;2;3;2;2;2;2;1;2;3;1;1;2;1;1;4;4;2;1;1;1;1;1;1;2;1;2;2;2;3;3;1
10;0;2;2;2;2;2;2;1;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
11;0;2;3;3;3;3;2;3;3;3;2;3;3;3;2;2;3;2;2;3;2;2;3;3;3;2;2;3;2;2;2;2;3;3;2;3;3;3;3
12;1;4;4;4;4;3;2;1;4;4;2;1;4;4;3;4;2;1;2;3;4;2;4;3;1;2;3;1;3;1;3;2;3;4;1;2;2;1;3
13;1;4;4;4;4;3;3;4;3;4;3;4;4;4;4;4;4;2;2;3;2;2;3;2;2;1;1;1;2;1;1;2;2;2;2;3;2;2;3
14;0;3;4;4;2;2;3;4;3;2;3;3;3;3;4;3;3;2;2;2;3;2;2;3;4;2;2;2;4;2;2;3;3;2;2;2;2;4;3
15;1;3;3;3;2;2;2;2;4;2;3;2;4;4;3;3;3;1;2;3;3;2;2;3;2;2;2;2;2;1;2;1;3;2;2;2;2;2;3
16;1;1;3;2;2;1;1;1;2;2;2;1;2;2;1;2;1;1;3;1;2;1;3;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1
17;1;2;2;1;2;3;2;2;2;2;2;3;2;1;2;2;2;2;1;1;2;2;2;2;2;1;2;3;2;2;3;1;2;2;2;3;2;2;0
18;1;3;4;3;3;1;2;4;4;1;3;3;4;4;2;3;3;1;2;3;3;2;2;2;3;2;2;1;2;1;1;2;2;2;2;2;1;2;3
19;1;4;4;3;4;2;3;4;4;4;4;4;4;4;3;3;4;2;3;2;3;3;1;3;2;3;2;3;2;3;2;3;4;3;3;3;3;3;2
20;1;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;2;0
21;1;4;4;4;4;3;2;4;4;2;4;3;4;4;2;4;4;4;2;2;4;4;2;4;4;2;2;4;2;2;2;2;4;2;4;4;4;4;2
22;1;2;3;3;4;4;1;2;3;2;3;1;4;4;1;2;3;1;1;1;2;1;2;1;2;1;1;1;3;2;2;1;1;2;1;2;1;1;0
23;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
24;1;2;2;3;3;3;1;2;3;3;3;3;2;4;1;1;4;2;1;2;1;1;2;1;3;1;2;2;2;3;1;2;3;2;3;2;2;2;0
25;1;2;2;2;2;3;2;4;2;3;2;2;2;3;2;2;3;1;1;2;2;2;2;1;3;2;2;2;2;1;2;1;2;2;2;3;1;2;0
26;1;1;2;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;3;2;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
27;1;2;3;3;3;3;2;2;3;2;3;2;3;3;2;3;2;1;2;2;2;2;3;2;2;1;2;2;3;2;2;1;2;2;2;2;1;2;0
28;0;2;4;4;3;2;2;4;4;1;3;2;2;4;1;2;4;1;1;3;2;1;3;2;3;2;2;2;1;1;2;1;3;1;1;3;1;3;0
29;0;2;3;4;4;4;2;1;3;2;2;1;4;3;2;2;4;1;1;2;1;1;4;4;2;1;2;1;2;1;2;1;1;2;1;1;2;2;0
30;1;2;3;3;3;4;3;2;3;2;2;1;4;4;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
31;1;2;2;3;2;3;2;3;2;2;3;2;3;2;1;2;3;2;2;3;2;2;3;2;2;3;2;2;3;1;3;3;3;3;2;2;2;3;0
32;1;2;4;3;3;3;1;2;3;1;3;2;4;4;2;3;4;3;1;2;2;3;1;2;2;3;3;3;3;2;3;3;3;3;3;4;3;2;3
33;1;2;2;2;2;4;1;2;2;2;2;2;3;3;1;2;2;2;1;2;2;2;3;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;0
34;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
35;1;3;3;3;3;3;1;1;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
36;1;3;4;4;4;2;2;3;3;3;4;3;4;4;4;3;3;2;2;4;3;2;3;3;4;2;3;3;3;3;2;3;3;3;3;3;3;3;2
37;1;2;3;2;2;3;2;2;2;2;2;1;2;2;2;2;2;2;2;3;2;2;3;2;2;1;2;1;1;2;1;2;2;2;2;2;2;2;0
38;1;2;3;3;1;2;3;1;2;1;2;2;3;2;1;3;2;1;2;3;2;2;4;2;2;1;2;2;1;1;1;1;1;3;1;2;2;2;1
39;1;3;3;3;3;2;1;4;3;2;3;2;3;2;1;3;2;1;2;3;1;1;3;3;4;1;1;2;1;1;1;1;1;1;1;1;2;4;0
40;1;3;3;3;3;3;1;1;2;2;3;3;3;3;2;4;3;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;3
41;1;3;2;2;3;3;2;3;1;2;2;2;2;2;2;2;2;2;3;3;3;2;3;2;4;2;1;1;1;2;2;2;2;3;2;2;2;3;0
42;1;1;2;2;2;3;2;1;2;1;2;1;3;2;1;2;1;1;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1
43;0;2;3;4;3;4;2;4;2;3;3;3;4;4;3;2;4;2;2;2;3;2;1;3;2;1;2;2;2;2;1;2;2;2;3;2;3;2;3
44;1;2;4;4;3;3;3;4;2;2;2;2;3;4;2;2;4;2;2;3;1;2;3;2;3;2;2;2;3;2;2;2;2;4;3;2;1;3;3
45;1;2;2;2;2;3;3;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
46;1;1;3;2;3;4;3;1;2;2;2;2;2;2;2;2;3;1;1;3;3;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;2;2;0
47;1;1;2;2;2;4;1;1;2;1;2;1;2;2;1;1;1;1;1;3;2;1;4;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1
48;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
49;0;2;2;2;2;4;2;2;2;2;2;3;2;3;2;2;2;2;1;3;2;1;3;2;3;2;2;2;2;2;2;2;2;3;2;3;3;2;0
50;1;3;3;3;3;2;2;2;3;2;3;2;3;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;0
51;1;3;4;3;1;3;4;2;2;3;4;1;4;4;1;2;4;2;2;2;2;2;3;4;1;2;2;2;2;2;1;2;2;3;2;4;4;2;3
52;1;3;3;3;3;1;1;4;3;1;2;1;4;3;2;3;4;1;2;3;3;2;3;3;4;3;3;2;3;2;3;1;2;2;2;3;1;2;3
53;1;4;4;4;3;3;3;1;2;1;4;2;3;4;2;4;1;2;2;3;2;2;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;3
54;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;2;3;3;1;2;2;2;2;2;2;3;3;2;2;2;2;3;2;0
55;1;2;3;2;2;4;3;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;2;1;3;2;2;2;1;2;2;3;2;2;3;2;2;0
56;0;4;4;3;4;4;4;2;4;4;4;3;4;3;4;4;4;3;4;2;4;4;2;4;3;4;4;3;4;4;3;3;4;4;4;4;4;2;2
57;1;2;3;2;3;3;2;2;2;3;3;2;3;3;2;2;3;2;2;3;2;2;3;2;2;3;2;2;3;2;2;2;3;3;2;3;2;2;0
58;1;4;4;3;4;1;4;3;4;3;2;4;4;4;4;4;4;2;2;1;4;3;1;4;2;4;4;4;3;3;4;2;4;3;4;4;2;2;2
59;1;3;3;4;3;2;1;3;3;3;3;2;4;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;3;3;2;3
60;1;2;2;3;3;2;3;1;2;1;1;1;2;2;1;2;2;1;1;4;1;1;3;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1
61;1;1;3;1;1;1;3;2;2;1;1;1;3;1;1;1;4;1;1;3;2;1;3;2;3;1;1;1;1;2;1;3;3;2;2;2;1;2;1
62;1;2;2;2;2;2;3;3;2;2;3;2;3;3;2;2;3;1;1;3;2;1;3;3;2;1;2;1;2;1;1;2;1;2;2;2;1;2;0
63;0;3;3;3;3;3;2;4;3;3;4;2;3;3;3;3;3;2;2;2;2;1;3;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;3
64;1;2;4;4;4;1;2;3;3;2;2;3;3;4;2;2;4;2;2;2;3;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;3
65;1;2;1;2;2;3;2;1;2;1;2;1;3;2;3;2;3;1;1;2;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66;0;2;3;3;3;3;1;3;3;2;2;2;3;3;2;2;3;2;3;3;2;1;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;0
67;1;1;1;2;2;3;2;3;2;1;2;2;2;3;2;1;2;1;1;3;2;1;3;2;3;1;1;1;1;1;1;1;1;2;1;2;2;2;1
68;0;2;4;4;4;2;3;3;4;1;2;2;3;4;1;1;4;1;2;1;2;1;3;4;4;2;2;3;2;2;2;2;2;4;4;2;1;4;3
69;1;2;3;3;3;3;2;1;3;2;2;2;3;3;2;2;2;1;2;2;3;2;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0
70;0;2;2;2;2;3;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;4;2;2;2;1;2;2;1;2;3;2;2;2;2;1;1;0
71;1;1;2;3;3;2;2;1;2;1;1;1;2;3;1;3;1;1;2;3;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
73;1;2;4;4;4;2;1;2;4;2;4;2;4;4;2;2;2;2;2;3;4;2;3;4;2;2;3;3;3;2;3;2;3;3;3;2;2;2;3
74;1;2;2;2;2;2;3;3;2;2;1;1;3;2;2;3;2;3;2;3;2;2;3;2;2;2;2;2;3;2;2;2;3;3;2;2;2;3;0
75;1;2;2;2;2;3;3;2;2;2;2;1;2;3;2;1;1;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;0
76;1;2;2;3;2;3;2;2;3;2;2;2;3;3;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;0
77;1;1;2;2;2;4;2;1;2;1;2;1;2;2;1;2;1;1;1;2;1;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
78;1;2;4;4;4;2;3;4;3;2;2;2;3;4;3;3;4;2;2;4;3;2;2;3;2;2;2;3;3;2;2;2;3;2;3;2;2;2;3
79;1;2;3;3;3;3;2;3;3;2;3;3;3;4;3;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3
80;1;2;2;2;2;3;2;1;2;2;2;1;2;4;1;2;2;1;1;3;1;1;4;1;1;2;2;2;1;2;1;1;2;2;2;2;1;2;1
81;1;4;3;3;3;3;2;4;3;3;4;3;4;4;2;2;4;2;2;2;4;2;3;3;4;2;2;2;2;2;3;2;3;3;4;4;2;4;3
82;0;3;3;3;3;3;3;3;2;2;2;4;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;4;2;3;3;3;3;3;3;3;3;2
83;1;2;2;2;2;3;3;3;2;3;2;2;2;3;2;2;2;2;2;3;2;2;2;2;3;2;2;2;3;2;2;2;3;2;2;2;2;3;0
84;1;2;4;4;4;3;1;4;4;3;3;4;4;4;2;3;4;2;2;3;2;2;2;3;4;2;2;2;2;3;2;3;3;4;4;4;4;4;3
85;0;3;3;3;3;1;2;4;3;1;2;1;4;3;3;3;4;1;1;2;1;1;3;2;2;2;2;1;1;1;2;2;3;2;2;2;2;3;0
86;1;2;2;2;2;2;3;1;2;3;2;2;3;2;1;3;3;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1
87;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
88;1;2;3;3;3;2;2;3;2;2;2;1;3;3;1;1;3;2;3;3;2;2;3;3;4;2;2;1;3;1;2;2;1;2;1;2;2;3;0
89;1;2;3;3;3;3;3;4;4;2;3;2;3;3;2;2;3;3;2;2;3;2;1;2;2;2;2;2;2;2;2;3;2;3;2;3;3;3;3
90;1;3;2;3;1;2;2;1;2;1;2;1;3;2;1;3;2;2;1;3;1;2;2;2;1;2;1;2;1;2;2;3;3;3;2;2;2;2;0
91;1;3;3;3;3;3;2;3;3;3;2;3;3;4;3;3;3;2;2;2;3;2;1;2;2;3;3;3;3;3;3;3;3;2;2;3;2;2;3
92;1;2;1;2;1;2;2;2;2;2;2;1;2;3;2;2;3;2;2;2;3;2;3;2;2;1;2;2;2;1;1;2;2;2;2;2;2;1;0
93;1;1;2;3;3;3;2;3;3;2;1;2;3;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;1;1;2;1
94;0;1;4;4;4;1;2;4;4;1;1;1;4;4;4;3;4;2;2;3;2;2;3;3;4;2;1;4;2;2;1;2;4;3;2;2;2;4;3
95;1;2;2;2;2;2;2;3;3;2;2;2;3;2;1;2;3;1;1;2;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1
96;0;3;3;4;4;4;3;2;4;2;4;2;4;4;2;3;4;2;2;4;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;3;4;3;3
97;0;2;3;3;3;2;1;2;3;2;3;2;3;3;2;3;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1
98;1;2;2;3;3;2;3;1;1;2;3;1;3;1;1;1;2;3;2;1;1;1;2;2;1;1;3;1;2;2;2;3;2;3;1;2;2;4;0
99;1;3;3;4;3;2;2;2;3;3;3;3;3;4;2;3;3;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3
100;0;3;3;3;3;3;3;3;3;2;2;1;3;4;3;2;4;2;2;3;1;2;3;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;3
101;0;2;2;2;2;3;2;4;2;2;3;2;3;2;2;2;3;2;2;3;2;2;3;2;3;2;2;2;2;2;2;3;3;3;2;2;2;3;0
102;1;2;2;2;3;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;3;3;2;2;2;3;2;2;2;2;2;3;3;2;2;0
103;1;2;2;3;3;4;2;4;3;4;4;3;4;3;3;2;4;2;1;3;1;2;2;2;4;2;2;3;3;3;2;3;3;3;3;4;3;3;3
104;1;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;3;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;1
105;1;1;2;3;3;3;3;1;1;1;2;1;4;2;1;2;2;1;1;2;1;1;3;1;1;1;1;1;3;1;1;1;1;2;1;2;1;1;1
106;1;4;1;1;1;4;4;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
107;1;3;3;3;3;3;2;2;3;2;3;2;3;3;2;3;3;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;2;3;2;3;2;2;3
108;1;2;2;2;2;2;2;2;2;1;2;2;3;2;2;2;2;1;2;3;2;1;3;2;2;2;2;3;3;3;2;2;3;3;2;2;1;1;0
109;1;3;3;3;3;1;2;2;1;1;2;1;3;3;1;3;3;1;2;3;3;1;3;2;3;1;2;1;2;1;2;1;2;3;2;1;1;2;0
110;1;1;1;1;1;3;3;1;1;1;1;1;2;1;1;1;1;1;1;2;3;1;4;1;1;2;1;1;1;1;1;1;2;2;1;2;1;1;1
111;1;3;3;3;3;1;3;3;3;2;3;2;4;3;2;3;4;2;2;4;2;2;3;2;2;2;2;2;3;2;2;2;3;3;3;3;2;3;3
112;1;2;2;2;2;3;1;2;2;2;2;2;3;4;2;2;4;2;2;2;2;2;3;3;2;2;3;2;3;2;3;2;3;3;2;3;2;2;0
113;1;1;2;2;2;4;3;4;2;3;1;2;2;3;2;1;3;1;1;3;3;2;2;1;3;2;2;2;2;2;2;1;2;2;2;2;2;3;0
114;1;2;2;3;3;2;2;3;2;3;3;1;2;3;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;2;3;2;1;1;2;0
115;1;2;2;2;1;2;3;2;2;2;2;1;3;2;1;2;3;1;1;2;3;1;4;3;2;1;2;1;1;1;1;1;2;2;1;2;1;2;1
116;1;3;3;4;3;2;2;4;3;1;3;4;3;4;2;3;4;2;2;2;3;1;1;4;4;1;2;2;2;2;2;2;2;3;4;4;3;3;3
117;0;3;4;4;4;3;3;3;4;3;3;4;4;4;3;3;4;2;2;2;4;2;2;2;4;2;4;3;2;4;3;4;3;4;4;3;2;4;2
118;1;3;3;3;3;2;2;3;3;2;2;2;2;3;3;2;2;2;2;3;2;2;2;2;3;2;2;2;1;1;1;2;1;2;2;3;3;2;0
119;1;1;2;1;1;2;3;2;2;2;1;1;2;3;1;2;2;1;1;3;1;1;1;1;3;1;1;1;1;1;1;1;1;2;1;2;1;1;1
120;1;2;4;4;4;3;3;2;2;2;3;1;4;3;2;2;1;2;2;2;2;2;4;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;0
121;1;2;2;2;3;2;2;1;3;1;1;1;3;1;1;1;1;1;1;2;1;1;4;1;1;1;2;1;2;1;2;2;2;2;1;1;2;2;1
122;0;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;1;2;1;2;1;3;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1
123;1;2;2;1;1;3;2;1;2;1;1;1;2;1;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1
124;1;2;3;3;3;2;3;2;2;2;3;2;3;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
125;1;1;2;2;3;4;2;1;1;4;2;1;3;2;1;2;2;1;1;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1
126;1;2;3;2;2;3;2;2;3;2;2;2;3;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
127;1;3;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;2;2;3;3;3;3;3;0
128;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3
129;1;3;3;3;3;3;1;2;3;1;1;2;3;1;2;3;3;2;1;3;1;1;2;2;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1
130;1;3;3;3;3;3;2;3;3;3;3;2;3;3;3;3;3;2;2;2;3;2;2;2;3;3;2;3;3;3;2;2;3;3;3;3;3;3;3
131;0;2;1;1;1;2;2;2;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;2;2;1;2;1;1
132;1;2;4;3;2;1;1;1;2;2;2;2;3;2;2;2;2;1;1;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1
133;1;2;2;3;3;3;3;4;2;2;2;2;3;3;2;2;3;3;2;3;2;3;3;3;4;2;2;2;2;3;2;3;2;3;2;3;3;3;3
134;1;1;3;2;2;2;3;3;3;1;3;2;4;2;1;2;2;2;2;3;1;2;2;3;4;2;2;2;2;2;2;3;3;3;3;3;2;2;0
135;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1
136;1;4;4;4;3;2;3;4;4;2;2;3;3;2;3;3;2;2;2;2;3;2;2;2;4;2;3;3;4;3;2;2;3;4;2;2;1;4;3
137;0;2;3;3;2;2;2;1;2;1;2;2;3;3;1;2;2;2;1;3;3;1;4;2;3;1;2;2;1;2;3;3;3;3;3;3;4;3;0
138;1;2;3;3;3;2;3;4;2;2;2;1;3;4;1;2;4;1;2;3;3;1;4;2;3;2;2;1;2;1;2;1;2;2;2;2;1;3;0
139;1;1;1;2;1;1;1;1;2;2;2;1;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
140;0;2;2;3;3;3;3;3;3;3;2;2;3;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0
141;1;1;1;3;2;2;2;1;1;2;2;2;3;1;2;1;2;1;2;2;3;2;3;2;1;2;2;2;3;2;1;1;2;2;1;2;1;2;1
142;1;2;2;2;2;4;3;1;2;2;2;1;3;4;2;2;1;1;2;2;2;1;3;1;1;2;2;1;2;1;2;1;1;2;1;1;1;1;1
143;1;2;2;3;2;3;2;2;2;2;2;1;3;3;2;2;3;1;2;2;2;2;3;2;2;1;2;2;3;2;2;2;2;2;2;2;2;2;0
144;1;3;3;2;2;2;3;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;3;3;2;2;1;1;1;2;1;1;2;2;1;2;1;2;0
145;1;2;3;2;3;3;3;4;2;2;3;2;3;4;2;2;3;2;1;3;3;2;3;2;4;2;2;2;2;2;1;2;2;2;3;4;2;4;3
146;1;3;3;3;3;2;2;2;3;3;3;3;3;3;3;3;2;2;2;3;2;2;2;2;2;3;2;3;2;3;3;2;3;2;2;2;2;2;3
147;1;2;2;2;2;3;2;2;2;2;3;1;3;2;1;2;2;2;2;3;2;2;4;3;3;2;2;2;1;2;2;2;2;3;2;3;2;3;0
148;0;2;4;4;4;4;3;4;3;2;4;4;4;4;3;2;2;4;1;2;4;2;2;4;4;2;2;3;4;3;1;4;4;4;4;4;3;4;2
149;1;2;3;4;3;3;2;3;2;4;2;2;3;4;2;2;3;3;2;3;2;2;3;2;3;2;3;3;3;3;2;3;2;3;2;3;3;3;3
150;0;1;2;2;2;4;3;4;2;2;2;1;2;2;2;1;2;2;1;2;2;1;4;1;4;2;2;2;3;2;3;2;2;2;2;3;2;2;0
151;1;2;3;2;3;3;2;2;3;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
152;0;4;4;4;4;3;4;4;4;4;4;3;3;4;4;2;2;3;3;3;3;3;3;3;2;3;3;2;2;3;2;3;3;3;2;3;2;3;2
153;1;1;3;2;2;3;3;2;1;1;3;1;2;4;1;1;3;1;2;3;3;1;3;1;2;1;3;2;1;1;2;2;2;2;1;3;1;1;1
154;1;3;4;4;3;4;3;4;2;4;2;4;3;4;4;1;4;1;1;3;4;1;2;1;4;3;2;2;4;3;3;3;3;3;2;4;4;3;3
155;1;1;2;2;3;4;2;4;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;0
156;0;4;4;4;4;4;2;1;2;3;2;2;3;4;2;3;2;3;2;2;2;2;3;3;2;2;2;2;2;2;2;4;3;4;1;1;4;1;3
157;1;2;3;3;3;3;2;1;3;2;3;1;2;4;1;2;2;2;2;2;2;2;3;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1
158;1;4;4;4;3;2;2;2;3;1;3;2;4;3;3;4;3;2;1;3;2;2;1;3;2;2;2;3;2;2;1;2;3;2;2;2;1;2;3
159;0;3;3;3;4;2;1;2;4;1;3;4;4;4;3;3;4;2;1;4;2;2;2;4;1;2;3;3;2;3;1;2;3;3;2;3;1;2;3
160;1;2;3;2;2;3;2;1;2;2;2;1;2;2;2;1;2;2;2;3;2;2;3;2;1;1;1;1;1;2;1;2;1;1;1;2;2;1;1
161;1;1;1;3;2;3;3;1;1;1;3;1;3;2;1;2;2;1;1;3;1;1;4;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;1
162;1;3;3;3;2;2;2;3;3;2;3;2;3;2;2;3;3;2;2;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;0
163;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
164;1;3;4;3;3;4;2;2;3;3;3;2;3;3;2;2;2;2;2;3;2;2;3;3;2;2;2;2;3;3;2;2;2;3;3;3;2;2;3
165;1;2;2;2;2;2;1;1;2;1;2;1;2;2;1;2;1;1;1;3;1;1;4;1;1;1;2;1;2;1;1;1;1;2;1;1;1;1;1
166;1;1;1;2;2;1;2;2;2;1;2;2;2;2;2;1;1;2;1;2;1;2;1;1;2;2;1;2;1;1;1;2;1;2;1;1;2;2;1
167;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;3;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1
168;1;3;3;4;3;3;2;2;3;2;4;3;3;4;2;2;2;2;2;2;2;2;3;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3
169;0;3;2;2;2;4;2;2;3;1;4;1;4;4;2;2;4;3;2;2;2;1;3;4;2;2;2;2;4;3;4;2;1;3;1;1;1;2;0
170;1;2;3;3;3;2;2;4;2;2;2;2;3;4;2;2;3;2;2;3;2;2;2;2;4;3;2;2;2;2;3;2;2;3;2;2;2;3;3
