;A11;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;cluster
740;1;2;4;3;3;3;3;4;3;2;3;2;3;4;1;1;4;2;2;3;3;2;3;2;4;2;2;3;3;3;2;2;3;2;3;3;2;4;3
741;1;1;1;2;1;4;3;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
742;1;2;3;3;2;3;3;3;2;3;1;2;3;3;2;2;3;2;2;3;2;3;3;2;3;1;1;3;2;2;1;2;2;3;3;3;3;2;0
743;1;2;3;2;2;4;3;4;2;3;2;1;3;2;1;1;3;2;2;2;4;2;3;2;4;2;3;2;2;2;2;2;3;2;2;2;3;4;0
744;1;3;2;2;3;3;2;3;2;2;2;2;2;3;2;2;2;1;2;3;2;2;3;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0
745;1;1;2;2;2;3;3;2;2;1;1;2;2;2;2;1;2;1;1;3;2;1;3;2;2;1;2;2;1;2;1;2;2;2;1;2;1;2;1
746;1;2;3;3;3;3;3;2;3;3;2;2;3;4;2;2;3;1;1;2;1;1;3;2;3;1;2;2;3;2;2;2;2;2;2;2;2;3;0
747;1;3;4;3;3;3;2;2;3;1;3;2;4;4;1;2;3;1;2;2;1;1;4;3;2;1;1;1;1;1;1;1;2;2;2;3;1;2;0
748;1;2;3;3;2;3;2;2;2;3;2;2;3;3;1;2;2;2;2;2;3;2;3;2;3;2;2;2;2;2;2;2;2;3;2;2;3;3;0
749;1;1;2;2;3;2;2;3;1;2;3;1;3;4;2;2;1;1;1;1;2;2;3;1;2;1;2;2;2;3;2;2;3;3;1;3;1;1;0
750;1;1;2;2;2;4;1;1;1;2;2;1;1;3;1;1;2;2;1;3;1;2;4;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
751;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;3;2;1;2;2;2;0
752;1;2;2;3;3;3;3;2;2;3;2;2;2;3;2;2;4;2;1;2;2;2;3;3;2;2;2;2;2;2;2;3;2;3;2;3;3;2;0
753;1;2;3;3;3;2;2;1;3;2;3;2;3;3;2;3;3;2;2;2;2;2;3;3;2;2;2;2;3;3;2;2;2;3;2;3;2;2;3
754;1;2;3;3;3;3;2;3;2;2;2;2;3;4;2;2;3;2;2;3;3;2;3;2;3;2;2;1;2;2;1;2;2;2;3;2;2;2;0
755;1;4;4;3;4;2;1;4;3;2;4;3;3;4;2;3;4;2;1;3;2;1;3;2;4;2;2;2;2;1;2;2;2;2;3;3;1;4;3
756;1;3;3;3;3;2;2;3;3;2;2;2;3;4;3;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;1;2;3
757;0;2;4;4;4;4;1;4;2;4;3;2;2;4;1;1;4;1;1;2;3;1;3;1;4;1;2;1;2;1;1;2;2;2;2;4;1;4;3
758;1;1;3;3;1;3;3;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;4;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1
759;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
760;1;3;3;3;3;2;2;4;3;1;3;2;3;3;3;3;3;3;2;2;3;2;2;2;2;3;2;3;3;3;2;3;3;3;2;2;2;3;3
761;0;2;2;3;2;3;3;3;3;3;2;2;3;2;3;2;3;2;2;3;2;2;3;3;3;3;2;2;2;2;3;2;3;3;2;3;3;3;3
762;1;2;2;2;2;3;2;2;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;2;2;3;3;3;3;3;2;2;0
763;1;2;4;3;2;2;3;4;3;2;3;2;2;4;2;2;4;2;2;3;2;2;3;3;4;2;2;2;2;2;2;2;2;2;2;2;2;3;3
764;1;2;3;3;3;4;3;4;2;2;2;2;2;3;2;2;3;2;2;3;2;2;3;2;4;2;2;1;2;2;2;2;2;2;2;2;2;2;0
765;1;3;3;3;3;3;2;1;2;2;2;2;3;3;2;3;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;0
766;1;2;4;3;4;3;3;2;3;3;3;2;3;3;2;3;3;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;3;4;2;3;3;2;3
767;1;3;3;2;2;3;2;1;2;2;3;2;4;3;2;3;2;2;2;3;2;2;3;2;1;2;2;2;3;2;1;1;3;2;2;2;2;2;0
768;1;4;4;4;4;2;2;4;3;2;3;3;4;4;4;4;2;2;2;2;2;2;3;3;2;3;3;3;3;3;3;3;3;3;2;3;2;2;3
769;1;2;4;3;3;3;1;3;3;1;2;2;3;3;4;3;4;1;1;4;2;2;2;2;4;3;2;3;2;2;1;1;3;3;2;3;2;3;3
770;1;2;2;2;2;4;2;1;2;2;2;1;2;3;1;2;3;1;1;3;1;1;2;1;3;1;1;1;1;1;1;1;1;1;1;2;1;1;1
771;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1
772;1;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
773;1;3;3;3;4;2;2;2;3;1;4;3;3;4;4;3;4;2;1;2;3;2;3;3;2;3;3;3;3;2;3;3;4;3;2;2;2;2;3
774;0;2;3;3;3;2;2;2;4;2;3;2;4;3;3;3;3;2;3;2;2;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;2;3;3
775;1;2;2;3;2;4;2;1;3;2;1;2;3;2;2;2;3;1;2;1;1;2;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1
776;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;2;1;2;2;1;3;3;2;2;1;3;3;3;3;2;3;3;2
777;0;2;3;2;2;3;3;2;2;2;2;2;3;2;2;2;2;1;2;3;2;1;4;2;2;1;2;1;1;1;1;1;1;2;2;2;2;1;1
778;1;1;3;4;4;4;2;1;2;1;2;1;3;4;1;1;4;1;1;4;2;1;4;4;2;1;1;1;1;1;1;1;1;1;3;3;1;2;1
779;1;2;2;3;3;4;2;3;2;3;2;2;3;3;2;2;3;1;2;2;2;2;3;1;3;2;2;1;2;2;3;2;2;2;2;2;2;2;0
780;1;3;3;3;3;3;2;4;2;4;2;1;2;4;2;3;4;2;2;3;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3
781;0;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2
782;0;1;3;4;3;3;1;2;1;2;3;1;3;3;1;1;4;2;3;4;3;1;4;2;3;2;2;2;1;1;1;1;1;3;1;2;2;2;0
783;1;2;3;4;3;2;2;4;2;1;2;2;3;4;2;2;3;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;0
