;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;cluster
3725;1;0;0;0;1;5.0;0.0;3;10;5;2;4;3;4;4;3;3;2;3;2;3;3;3;4;4;3;3;0
3726;0;1;0;0;2;0.0;1.0;0;0;0;0;3;3;4;4;3;4;3;4;3;4;5;5;5;4;4;4;4
3727;1;0;1;0;1;2.0;0.0;2;2;2;0;4;4;3;3;2;3;3;5;5;5;5;5;5;5;5;5;1
3728;1;0;0;0;1;5.0;0.0;3;1;3;1;4;3;4;3;4;1;4;3;3;4;4;3;5;4;4;5;0
3729;1;0;1;0;1;3.0;0.0;7;6;3;1;4;4;3;3;4;3;4;5;5;5;5;5;5;5;5;5;1
3730;1;0;0;0;1;4.0;0.0;2;0;2;0;4;4;4;4;4;4;4;5;4;4;4;4;5;4;5;5;1
3731;0;1;0;0;2;0.0;1.0;1;1;0;0;4;4;4;4;4;4;4;4;4;4;5;4;5;5;5;5;4
3732;1;0;1;0;1;1.0;0.0;1;2;1;0;3;2;3;3;4;4;3;3;3;4;5;5;5;3;3;4;0
3733;0;1;0;0;2;0.0;2.0;2;3;1;1;2;3;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4
3734;0;1;0;0;2;0.0;1.0;1;2;0;0;1;2;1;2;4;4;3;4;4;4;4;4;4;4;4;4;0
3735;1;0;0;0;1;1.0;0.0;3;5;1;2;4;4;3;3;4;3;4;5;5;5;5;5;5;5;5;5;1
3736;1;0;1;0;1;3.0;0.0;3;1;1;0;4;4;3;2;3;3;3;5;4;5;5;5;5;5;5;5;1
3737;1;0;1;0;1;1.0;0.0;4;5;1;0;4;3;4;3;3;2;3;3;3;4;5;3;5;5;5;3;0
3738;1;0;0;0;1;2.0;0.0;1;1;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3739;1;0;0;0;1;3.0;0.0;10;15;10;5;4;4;4;4;2;3;4;4;4;4;4;4;4;4;4;4;2
3740;1;0;0;0;1;1.0;0.0;2;2;1;0;3;3;3;3;4;4;4;5;4;5;5;5;5;5;5;5;1
3741;1;0;0;0;1;3.0;0.0;1;1;1;1;3;3;3;2;4;4;4;5;5;5;5;4;5;5;5;5;1
3742;1;1;1;0;3;0.0;2.0;10;10;10;5;3;4;3;4;4;2;3;4;4;5;4;5;5;5;4;5;4
3743;1;0;0;0;1;4.0;0.0;2;2;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3744;0;0;1;0;3;0.0;3.0;2;2;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4
3745;0;0;1;0;3;0.0;2.0;3;2;1;1;4;4;4;4;4;4;4;3;5;2;4;3;5;5;4;4;4
3746;0;1;0;0;2;0.0;1.0;1;1;0;0;4;4;4;4;3;4;3;4;4;4;5;5;5;5;5;4;4
3747;0;1;0;0;2;0.0;2.0;9;7;6;1;3;4;3;3;2;3;1;4;5;4;4;4;3;5;4;3;4
3748;1;0;0;0;1;5.0;0.0;35;35;20;10;4;4;3;3;3;1;1;3;4;4;5;4;5;4;4;4;2
3749;0;0;1;0;3;0.0;1.0;1;1;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4
3750;1;0;0;0;1;5.0;0.0;20;10;10;4;4;4;3;4;2;1;2;4;3;4;5;5;3;3;3;3;2
3751;1;1;1;0;3;0.0;1.0;4;5;3;1;3;2;3;3;3;2;2;4;4;5;5;5;5;5;4;5;4
3752;1;0;0;0;1;3.0;0.0;4;3;2;1;4;4;4;4;4;3;4;4;4;5;5;5;5;4;5;5;1
3753;1;0;0;0;1;2.0;0.0;2;3;1;0;3;3;3;3;4;4;3;4;4;5;5;5;5;4;4;4;1
3754;1;0;0;0;1;2.0;0.0;1;1;10;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3755;0;1;0;0;2;0.0;2.0;10;15;8;4;4;4;4;4;4;3;4;3;3;3;5;3;5;4;3;5;4
3756;0;1;0;0;2;0.0;1.0;1;1;1;1;3;3;3;3;3;3;3;5;4;5;5;4;5;5;4;4;4
3757;1;0;1;0;1;2.0;0.0;2;2;2;0;4;4;4;4;3;3;1;4;4;5;5;5;5;5;5;4;1
3758;1;0;0;0;1;1.0;0.0;2;2;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3759;0;1;0;0;2;0.0;2.0;4;4;2;1;3;4;2;4;4;4;2;5;5;4;5;5;5;5;5;5;4
3760;1;0;0;0;1;1.0;0.0;2;1;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3761;1;0;0;0;1;2.0;0.0;15;10;5;2;3;4;3;3;4;4;2;3;3;3;4;3;3;4;3;4;0
3762;1;1;1;0;1;4.0;0.0;5;1;1;0;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;0
